abstract,article_type,journal,publication_date,title
"<p>Mitigation scenarios that achieve the ambitious targets included in the Paris Agreement typically rely on greenhouse gas emission reductions combined with net carbon dioxide removal (CDR) from the atmosphere, mostly accomplished through large-scale application of bioenergy with carbon capture and storage, and afforestation. However, CDR strategies face several difficulties such as reliance on underground CO<sub>2</sub> storage and competition for land with food production and biodiversity protection. The question arises whether alternative deep mitigation pathways exist. Here, using an integrated assessment model, we explore the impact of alternative pathways that include lifestyle change, additional reduction of non-CO<sub>2</sub> greenhouse gases and more rapid electrification of energy demand based on renewable energy. Although these alternatives also face specific difficulties, they are found to significantly reduce the need for CDR, but not fully eliminate it. The alternatives offer a means to diversify transition pathways to meet the Paris Agreement targets, while simultaneously benefiting other sustainability goals.</p>",Article,Nature Climate Change,13 April 2018,Alternative pathways to the 1.5 °C target reduce the need for negative emission technologies
"<p>Studies showing that scepticism about anthropogenic climate change is shaped, in part, by conspiratorial and conservative ideologies are based on data primarily collected in the United States. Thus, it may be that the ideological nature of climate change beliefs reflects something distinctive about the United States rather than being an international phenomenon. Here we find that positive correlations between climate scepticism and indices of ideology were stronger and more consistent in the United States than in the other 24 nations tested. This suggests that there is a political culture in the United States that offers particularly strong encouragement for citizens to appraise climate science through the lens of their worldviews. Furthermore, the weak relationships between ideology and climate scepticism in the majority of nations suggest that there is little inherent to conspiratorial ideation or conservative ideologies that predisposes people to reject climate science, a finding that has encouraging implications for climate mitigation efforts globally.</p>",Article,Nature Climate Change,07 May 2018,"Relationships among conspiratorial beliefs, conservatism and climate scepticism across nations"
"<p>Tree transpiration in the Amazon may enhance rainfall for downwind forests. Until now it has been unclear how this cascading effect plays out across the basin. Here, we calculate local forest transpiration and the subsequent trajectories of transpired water through the atmosphere in high spatial and temporal detail. We estimate that one-third of Amazon rainfall originates within its own basin, of which two-thirds has been transpired. Forests in the southern half of the basin contribute most to the stability of other forests in this way, whereas forests in the south-western Amazon are particularly dependent on transpired-water subsidies. These forest-rainfall cascades buffer the effects of drought and reveal a mechanism by which deforestation can compromise the resilience of the Amazon forest system in the face of future climatic extremes.</p>",Article,Nature Climate Change,28 May 2018,Forest-rainfall cascades buffer against drought across the Amazon
"<p>The Arctic and subarctic shelf seas, which sustain large fisheries and contribute to global biogeochemical cycling, are particularly sensitive to ongoing ocean acidification (that is, <b>decreasing seawater pH</b> due to anthropogenic CO<sub>2</sub> emissions). Yet, little information is available on the effects of ocean acidification on natural phytoplankton assemblages, which are the main primary producers in high-latitude waters. Here we show that coastal Arctic and subarctic primary production is largely insensitive to ocean acidification over a large range of light and temperature levels in different experimental designs. Out of ten CO<sub>2</sub>-manipulation treatments, significant ocean acidification effects on primary productivity were observed only once (at temperatures below 2 °C), and shifts in the species composition occurred only three times (without correlation to specific experimental conditions). These results imply a high capacity to compensate for environmental variability, which can be understood in light of the environmental history, tolerance ranges and intraspecific diversity of the dominant phytoplankton species.</p>",Article,Nature Climate Change,30 April 2018,Compensation of ocean acidification effects in Arctic phytoplankton assemblages
"<p>Climate policies targeting energy-related CO<sub>2</sub> emissions, which act on a global scale over long time horizons, can result in localized, near-term reductions in both air pollution and adverse human health impacts. Focusing on China, the largest energy-using and CO<sub>2</sub>-emitting nation, we develop a cross-scale modelling approach to quantify these air quality co-benefits, and compare them to the economic costs of climate policy. We simulate the effects of an illustrative climate policy, a price on CO<sub>2</sub> emissions. In a policy scenario consistent with China’s recent pledge to reach a peak in CO<sub>2</sub> emissions by 2030, we project that national health co-benefits from improved air quality would partially or fully offset policy costs depending on chosen health valuation. Net health co-benefits are found to rise with increasing policy stringency.</p>",Article,Nature Climate Change,23 April 2018,Air quality co-benefits of carbon pricing in China
"<p>Global-scale variation in mangrove ecosystem properties has been explained using a conceptual framework linking geomorphological processes to distinct coastal environmental settings (CES) for nearly 50 years. However, these assumptions have not been empirically tested at the global scale. Here, we show that CES account for global variability in mangrove soil C:N:P stoichiometry and soil organic carbon (SOC) stocks. Using this ecogeomorphology framework, we developed a global model that captures variation in mangrove SOC stocks compatible with distinct CES. We show that mangrove SOC stocks have been underestimated by up to 50% (a difference of roughly 200 Mg ha<sup>−1</sup>) in carbonate settings and overestimated by up to 86% (around 400 Mg ha<sup>−1</sup>) in deltaic coastlines. Moreover, we provide information for 57 nations that currently lack SOC data, enabling these and other countries to develop or evaluate their blue carbon inventories.</p>",Article,Nature Climate Change,28 May 2018,Global controls on carbon storage in mangrove soils
"<p>Tourism contributes significantly to global gross domestic product, and is forecast to grow at an annual 4%, thus outpacing many other economic sectors. However, global carbon emissions related to tourism are currently not well quantified. Here, we quantify tourism-related global carbon flows between 160 countries, and their carbon footprints under origin and destination accounting perspectives. We find that, between 2009 and 2013, tourism’s global carbon footprint has increased from 3.9 to 4.5 GtCO<sub>2</sub>e, four times more than previously estimated, accounting for about 8% of global greenhouse gas emissions. Transport, shopping and food are significant contributors. The majority of this footprint is exerted by and in high-income countries. The rapid increase in tourism demand is effectively outstripping the decarbonization of tourism-related technology. We project that, due to its high carbon intensity and continuing growth, tourism will constitute a growing part of the world’s greenhouse gas emissions.</p>",Article,Nature Climate Change,07 May 2018,The carbon footprint of global tourism
"<p>Through their editorializing practices, leading international science journals such as <i>Nature</i> and <i>Science</i> interpret the changing roles of science in society and exert considerable influence on scientific priorities and practices. Here we examine nearly 500 editorials published in these two journals between 1966 and 2016 that deal with climate change, thereby constructing a lens through which to view the changing engagement of science and scientists with the issue. A systematic longitudinal frame analysis reveals broad similarities between <i>Nature</i> and <i>Science</i> in the waxing and waning of editorializing attention given to the topic, but, although both journals have diversified how they frame the challenges of climate change, they have done so in different ways. We attribute these differences to three influences: the different political and epistemic cultures into which they publish; their different institutional histories; and their different editors and editorial authorship practices.</p>",Article,Nature Climate Change,28 May 2018,Framing the challenge of climate change in 
,,,,
,,,,
,,,,
,,,,
,,,,
"<p>The Arctic has warmed dramatically in recent decades, with greatest temperature increases observed in the northern Barents Sea. The warming signatures are not constrained to the atmosphere, but extend throughout the water column. Here, using a compilation of hydrographic observations from 1970 to 2016, we investigate the link between changing sea-ice import and this Arctic warming hotspot. A sharp increase in ocean temperature and salinity is apparent from the mid-2000s, which we show can be linked to a recent decline in sea-ice import and a corresponding loss in freshwater, leading to weakened ocean stratification, enhanced vertical mixing and increased upward fluxes of heat and salt that prevent sea-ice formation and increase ocean heat content. Thus, the northern Barents Sea may soon complete the transition from a cold and stratified Arctic to a warm and well-mixed Atlantic-dominated climate regime. Such a shift would have unknown consequences for the Barents Sea ecosystem, including ice-associated marine mammals and commercial fish stocks.</p>",Article,Nature Climate Change,25 June 2018,Arctic warming hotspot in the northern Barents Sea linked to declining sea-ice import
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"<p>The impact of tropical cyclones on humans depends on the number of people exposed and their vulnerability, as well as the frequency and intensity of storms. How will the cumulative effects of climate change, demography and vulnerability affect risk? Conventionally, reports assessing tropical cyclone risk trends are based on reported losses, but these figures are biased by improvements to information access. Here we present a new methodology based on thousands of physically observed events and related contextual parameters. We show that mortality risk depends on tropical cyclone intensity, exposure, levels of poverty and governance. Despite the projected reduction in the frequency of tropical cyclones, projected increases in both demographic pressure and tropical cyclone intensity over the next 20 years can be expected to greatly increase the number of people exposed per year and exacerbate disaster risk, despite potential progression in development and governance.</p>",Article,Nature Climate Change,12 February 2012,Global trends in tropical cyclone risk
"<p>Storm surges are responsible for much of the damage and loss of life associated with landfalling hurricanes. Understanding how global warming will affect hurricane surges thus holds great interest. As general circulation models (GCMs) cannot simulate hurricane surges directly, we couple a GCM-driven hurricane model with hydrodynamic models to simulate large numbers of synthetic surge events under projected climates and assess surge threat, as an example, for New York City (NYC). Struck by many intense hurricanes in recorded history and prehistory, NYC is highly vulnerable to storm surges. We show that the change of storm climatology will probably increase the surge risk for NYC; results based on two GCMs show the distribution of surge levels shifting to higher values by a magnitude comparable to the projected sea-level rise (SLR). The combined effects of storm climatology change and a 1 m SLR may cause the present NYC 100-yr surge flooding to occur every 3–20 yr and the present 500-yr flooding to occur every 25–240 yr by the end of the century.</p>",Article,Nature Climate Change,14 February 2012,Physically based assessment of hurricane surge threat under climate change
"<p>To support developing countries in greenhouse-gas emission abatement the 2010 Cancún Agreement established various institutions, among others a financial mechanism administered by the Green Climate Fund. However, the instruments for delivering the support and the magnitude of different countries’ financial needs are strongly debated. Both debates are predominantly underpinned by rather aggregate and strongly varying top-down cost estimates. To complement these numbers, we provide a more fine-grained bottom-up approach, comparing the cost of the renewable-energy technologies photovoltaics and wind in six developing countries with those of conventional technologies. Our results unveil large cost variations across specific technology–country combinations and show to what extent fossil-fuel subsidies can negatively affect the competitiveness of renewable-energy technologies. Regarding the instrument debate, our results indicate that to foster transformative changes, nationally appropriate mitigation actions are often more suited than a reformed clean development mechanism. Regarding the debate on financial needs, our results highlight the need for a decision on a fair baseline calculation methodology. To this end, we propose a new methodology that incentivizes changes in the baseline through subsidy phase-out. Finally, we contribute to the debate on domestic versus international support for these measures.</p>",Article,Nature Climate Change,15 April 2012,Assessing the costs of photovoltaic and wind power in six developing countries
,,,,
"<p>In light of mounting empirical evidence that planetary warming is well underway, the climate research community looks to palaeoclimate research for a ground-truthing measure with which to test the accuracy of future climate simulations. Model experiments that attempt to simulate climates of the past serve to identify both similarities and differences between two climate states and, when compared with simulations run by other models and with geological data, to identify model-specific biases. Uncertainties associated with both the data and the models must be considered in such an exercise. The most recent period of sustained global warmth similar to what is projected for the near future occurred about 3.3–3.0 million years ago, during the Pliocene epoch. Here, we present Pliocene sea surface temperature data, newly characterized in terms of level of confidence, along with initial experimental results from four climate models. We conclude that, in terms of sea surface temperature, models are in good agreement with estimates of Pliocene sea surface temperature in most regions except the North Atlantic. Our analysis indicates that the discrepancy between the Pliocene proxy data and model simulations in the mid-latitudes of the North Atlantic, where models underestimate warming shown by our highest-confidence data, may provide a new perspective and insight into the predictive abilities of these models in simulating a past warm interval in Earth history. This is important because the Pliocene has a number of parallels to present predictions of late twenty-first century climate.</p>",Article,Nature Climate Change,18 March 2012,Assessing confidence in Pliocene sea surface temperatures to evaluate predictive models
"<p>Many scientists and policymakers agree that large financial flows from richer to poorer countries will be necessary to reach an agreement on reducing greenhouse-gas emissions enough to keep global warming below 2 °C. But the required amounts of transfer payments and justifications for them remain contested. We contribute to this debate by developing an argument for transfer payments that derives from the differences between carbon prices that different countries may set in light of two distinct criteria for appropriate levels of emission reductions. If, for reasons of cost efficiency, a globally uniform carbon price was installed, transfer payments would be required to offset these differences. We combine global climate modelling with regional welfare analysis to estimate regional carbon prices under various climate change, emissions and economic scenarios. The estimated ratios between regional carbon prices are surprisingly robust to different modelling assumptions. To the extent that burden-sharing choices in global climate policy are motivated by regional carbon prices, our analysis allows for a quantification of required transfer payments. Assuming a global carbon price of US$35 per t CO<sub>2</sub>, for example, our estimates would justify transfer payments of the order of US$15–48 billion per year.</p>",Article,Nature Climate Change,03 June 2012,Transfer payments in global climate policy
"<p>Large discrepancies exist between twentieth-century tropical Indo-Pacific sea surface temperature trends determined from present reconstructions. These discrepancies prevent an unambiguous verification and validation of climate models used for projections of future climate change. Here we demonstrate that a more consistent and robust trend among all the reconstructions is found by filtering each data set to remove El Niño/Southern Oscillation (ENSO), which is represented not by a single-index time series but rather by an evolving dynamical process. That is, the discrepancies seem to be largely the result of different estimates of ENSO variability in each reconstruction. The robust ENSO-residual trend pattern represents a strengthening of the equatorial Pacific temperature gradient since 1900, owing to a systematic warming trend in the warm pool and weak cooling in the cold tongue. Similarly, the ENSO-residual trend in sea-level pressure represents no weakening of the equatorial Walker circulation over the same period. Additionally, none of the disparate estimates of post-1900 total eastern equatorial Pacific sea surface temperature trends are larger than can be generated by statistically stationary, stochastically forced empirical models that reproduce ENSO evolution in each reconstruction.</p>",Article,Nature Climate Change,08 July 2012,Reconciling disparate twentieth-century Indo-Pacific ocean temperature trends in the instrumental record
"<p>Climate-change (CC)-driven sea-level rise (SLR) will result in coastline retreat due to landward movement of the coastal profile (that is, the Bruun effect). Coastline change adjacent to commonly found tidal inlets will be influenced not only by the Bruun effect, but also by SLR-driven basin infilling and CC-driven variations in rainfall/runoff. However, as a model that accounts for all of the above-mentioned processes has been lacking so far, most coastal CC impact studies until now have considered only the Bruun effect. Here, we present a scale-aggregated model capable of providing rapid assessments of coastline change adjacent to small inlet-estuary/lagoon systems due to the combined effect of CC-driven SLR and variations in rainfall/runoff. Model applications to four representative systems show that the Bruun effect represents only 25–50% of total potential coastline change, and underline the significance of coastline change due to SLR-driven basin infilling and CC-driven variations in rainfall/runoff.</p>",Article,Nature Climate Change,02 September 2012,Climate-change impact assessment for inlet-interrupted coastlines
"<p>Mass coral bleaching events have become a widespread phenomenon causing serious concerns with regard to the survival of corals. Triggered by high ocean temperatures, bleaching events are projected to increase in frequency and intensity. Here, we provide a comprehensive global study of coral bleaching in terms of global mean temperature change, based on an extended set of emissions scenarios and models. We show that preserving &gt;10% of coral reefs worldwide would require limiting warming to below 1.5 °C (atmosphere–ocean general circulation models (AOGCMs) range: 1.3–1.8 °C) relative to pre-industrial levels. Even under optimistic assumptions regarding corals’ thermal adaptation, one-third (9–60%, 68% uncertainty range) of the world’s coral reefs are projected to be subject to long-term degradation under the most optimistic new IPCC emissions scenario, RCP3-PD. Under RCP4.5 this fraction increases to two-thirds (30–88%, 68% uncertainty range). Possible effects of ocean acidification reducing thermal tolerance are assessed within a sensitivity experiment.</p>",Article,Nature Climate Change,16 September 2012,Limiting global warming to 2 °C is unlikely to save most coral reefs
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"<p>The Paris Agreement—which is aimed at holding global warming well below 2 °C while pursuing efforts to limit it below 1.5 °C—has initiated a bottom-up process of iteratively updating nationally determined contributions to reach these long-term goals. Achieving these goals implies a tight limit on cumulative net CO<sub>2</sub> emissions, of which residual CO<sub>2</sub> emissions from fossil fuels are the greatest impediment. Here, using an ensemble of seven integrated assessment models (IAMs), we explore the determinants of these residual emissions, focusing on sector-level contributions. Even when strengthened pre-2030 mitigation action is combined with very stringent long-term policies, cumulative residual CO<sub>2</sub> emissions from fossil fuels remain at 850–1,150 GtCO<sub>2</sub> during 2016–2100, despite carbon prices of US$130–420 per tCO<sub>2</sub> by 2030. Thus, 640–950 GtCO<sub>2</sub> removal is required for a likely chance of limiting end-of-century warming to 1.5 °C. In the absence of strengthened pre-2030 pledges, long-term CO<sub>2</sub> commitments are increased by 160–330 GtCO<sub>2</sub>, further jeopardizing achievement of the 1.5 °C goal and increasing dependence on CO<sub>2</sub> removal.</p>",Article,Nature Climate Change,25 June 2018,Residual fossil CO
"<p>The IPCC has assigned a critical role to negative-CO<sub>2</sub>-emissions energy in meeting energy and climate goals by the end of the century, with biomass energy plus carbon capture and storage (BECCS) prominently featured. We estimate that methods of combining saline water electrolysis with mineral weathering powered by any source of non-fossil fuel-derived electricity could, on average, increase energy generation and CO<sub>2</sub> removal by &gt;50 times relative to BECCS, at equivalent or lower cost. This electrogeochemistry avoids the need to produce and store concentrated CO<sub>2</sub>, instead converting and sequestering CO<sub>2</sub> as already abundant, long-lived forms of ocean alkalinity. Such energy systems could also greatly reduce land and freshwater impacts relative to BECCS, and could also be integrated into conventional energy production to reduce its carbon footprint. Further research is needed to better understand the full range and capacity of the world’s negative-emissions options.</p>",Article,Nature Climate Change,25 June 2018,The global potential for converting renewable electricity to negative-CO
"<p>The ratio of plant transpiration to total terrestrial evapotranspiration (T/ET) captures the role of vegetation in surface–atmosphere interactions. However, its magnitude remains highly uncertain at the global scale. Here we apply an emergent constraint approach that integrates CMIP5 Earth system models (ESMs) with 33 field T/ET measurements to re-estimate the global T/ET value. Our observational constraint strongly increases the original ESM estimates (0.41 ± 0.11) and greatly alleviates intermodel discrepancy, which leads to a new global T/ET estimate of 0.62 ± 0.06. For all the ESMs, the leaf area index is identified as the primary driver of spatial variations of T/ET, but to correct its bias generates a larger T/ET underestimation than the original ESM output. We present evidence that the ESM underestimation of T/ET is, instead, attributable to inaccurate representation of canopy light use, interception loss and root water uptake processes in the ESMs. These processes should be prioritized to reduce model uncertainties in the global hydrological cycle.</p>",Article,Nature Climate Change,29 June 2018,Partitioning global land evapotranspiration using CMIP5 models constrained by observations
"<p>As one of Earth’s most carbon-dense regions, tropical forests are central to climate change mitigation efforts. Their unparalleled species richness also makes them vital for safeguarding biodiversity. However, because research has not been conducted at management-relevant scales and has often not accounted for forest disturbance, the biodiversity implications of carbon conservation strategies remain poorly understood. We investigated tropical carbon–biodiversity relationships and trade-offs along a forest-disturbance gradient, using detailed and extensive carbon and biodiversity datasets. Biodiversity was positively associated with carbon in secondary and highly disturbed primary forests. Positive carbon–biodiversity relationships dissipated at around 100 MgC ha<sup>–1</sup>, meaning that in less disturbed forests more carbon did not equal more biodiversity. Simulated carbon conservation schemes therefore failed to protect many species in the most species-rich forests. These biodiversity shortfalls were sensitive to opportunity costs and could be decreased for small carbon penalties. To ensure that the most ecologically valuable forests are protected, biodiversity needs to be incorporated into carbon conservation planning.</p>",Article,Nature Climate Change,16 July 2018,Carbon-focused conservation may fail to protect the most biodiverse tropical forests
"<p>Linkages between climate and mental health are often theorized but remain poorly quantified. In particular, it is unknown whether the rate of suicide, a leading cause of death globally, is systematically affected by climatic conditions. Using comprehensive data from multiple decades for both the United States and Mexico, we find that suicide rates rise 0.7% in US counties and 2.1% in Mexican municipalities for a 1 °C increase in monthly average temperature. This effect is similar in hotter versus cooler regions and has not diminished over time, indicating limited historical adaptation. Analysis of depressive language in &gt;600 million social media updates further suggests that mental well-being deteriorates during warmer periods. We project that unmitigated climate change (RCP8.5) could result in a combined 9–40 thousand additional suicides (95% confidence interval) across the United States and Mexico by 2050, representing a change in suicide rates comparable to the estimated impact of economic recessions, suicide prevention programmes or gun restriction laws.</p>",Article,Nature Climate Change,23 July 2018,Higher temperatures increase suicide rates in the United States and Mexico
"<p>The courts have played a central role in climate policy, including the landmark Supreme Court case that led to the mandatory regulation of greenhouse gases by the United States. A wide variety of litigants have used the courts to affect policy outcomes at all scales. Therefore, to understand how the court addresses climate change is critical. Here we constructed and analysed a database of all the United State domestic climate lawsuits 1990–2016 (873), and collected qualitative data in the form of 78 in-depth interviews with litigants, involved scientists and advocates. We find proregulation litigants tend to win renewable energy and energy efficiency cases, and more frequently lose coal-fired power plant cases. Strategies such as the use of climate science and other science as well as collaboration in specific types of coalitions affect the outcomes of cases. Efforts to affect climate policy should consider these trends and outcomes.</p>",Article,Nature Climate Change,20 August 2018,Strategies in and outcomes of climate change litigation in the United States
"<p>Atmospheric CO<sub>2</sub> is on pace to surpass 550 ppm in the next 30–80 years. Many food crops grown under 550 ppm have protein, iron and zinc contents that are reduced by 3–17% compared with current conditions. We analysed the impact of elevated CO<sub>2</sub> concentrations on the sufficiency of dietary intake of iron, zinc and protein for the populations of 151 countries using a model of per-capita food availability stratified by age and sex, assuming constant diets and excluding other climate impacts on food production. We estimate that elevated CO<sub>2</sub> could cause an additional 175 million people to be zinc deficient and an additional 122 million people to be protein deficient (assuming 2050 population and CO<sub>2</sub> projections). For iron, 1.4 billion women of childbearing age and children under 5 are in countries with greater than 20% anaemia prevalence and would lose &gt;4% of dietary iron. Regions at highest risk—South and Southeast Asia, Africa, and the Middle East—require extra precautions to sustain an already tenuous advance towards improved public health.</p>",Article,Nature Climate Change,27 August 2018,Impact of anthropogenic CO
"<p>Some technologies, such as solar or wind power, create certain but relatively small reductions in greenhouse gas emissions. Others, such as carbon sequestration devices, have larger potential upsides, but a greater possibility of failure. Here we show using economic games that people will invest in high-risk high-reward technologies when more certain options will not be sufficient. Groups of players had to contribute enough to avoid a simulated climate change disaster. Players could defect, make a certain contribution or make a risky contribution with a high potential gain. Across four studies using both laboratory (<i>n</i> = 296 and <i>n</i> = 297) and online (<i>n</i> = 501 and <i>n</i> = 499) samples, we found that more players made riskier contributions when necessary targets could not be met otherwise, regardless of the magnitude of potential losses. These results suggest that individuals are willing to invest in risky technology when it is necessary to mitigate climate change.</p>",Article,Nature Climate Change,03 September 2018,High-risk high-reward investments to mitigate climate change
"<p>Survival of marine fishes that are exposed to elevated near-future CO<sub>2</sub> levels is threatened by their altered responses to sensory cues. Here we demonstrate a physiological and molecular mechanism in the olfactory system that helps to explain altered behaviour under elevated CO<sub>2</sub>. We combine electrophysiology measurements and transcriptomics with behavioural experiments to investigate how elevated CO<sub>2</sub> affects the olfactory system of European sea bass (<i>Dicentrarchus labrax</i>). When exposed to elevated CO<sub>2</sub> (approximately 1,000 µatm), fish must be up to 42% closer to an odour source for detection, compared with current CO<sub>2</sub> levels (around 400 µatm), decreasing their chances of detecting food or predators. Compromised olfaction correlated with the suppression of the transcription of genes involved in synaptic strength, cell excitability and wiring of the olfactory system in response to sustained exposure to elevated CO<sub>2</sub> levels. Our findings complement the previously proposed impairment of γ-aminobutyric acid receptors, and indicate that both the olfactory system and central brain function are compromised by elevated CO<sub>2</sub> levels.</p>",Article,Nature Climate Change,23 July 2018,Near-future CO
"<p>Recent research indicates that the annual-mean locations of tropical cyclones have migrated toward higher latitudes. Concurrently, an anthropogenically forced tropical expansion has been observed, yet the connection between the two processes remains little-explored. Here, using observational and reanalysis data, we investigate how large-scale dynamical effects, combined with coherent changes in the regional Hadley circulation, explain recent changes in regional tropical cyclone genesis over 1980–2014. We show that the recent anomalous upper-level weakening of the rising branch of the Hadley circulation in the deep tropics, possibly induced by the increased vertical stability, has likely suppressed the low-latitude tropical cyclone genesis in most ocean basins via anomalous large-scale subsidence. Regional Hadley circulation variations have also favoured a poleward displacement of tropical-cyclone-favourable climate conditions through poleward shift of the Hadley circulation’s meridional extent. With projections indicating continued tropical expansion, these results indicate that tropical cyclone genesis will also continue to shift poleward, potentially increasing tropical-cyclone-related hazards in higher-latitude regions.</p>",Article,Nature Climate Change,23 July 2018,Recent poleward shift of tropical cyclone formation linked to Hadley cell expansion
"<p>The social cost of carbon (SCC) is a commonly employed metric of the expected economic damages from carbon dioxide (CO<sub>2</sub>) emissions. Although useful in an optimal policy context, a world-level approach obscures the heterogeneous geography of climate damage and vast differences in country-level contributions to the global SCC, as well as climate and socio-economic uncertainties, which are larger at the regional level. Here we estimate country-level contributions to the SCC using recent climate model projections, empirical climate-driven economic damage estimations and socio-economic projections. Central specifications show high global SCC values (median, US$417 per tonne of CO<sub>2</sub> (tCO<sub>2</sub>); 66% confidence intervals, US$177–805 per tCO<sub>2</sub>) and a country-level SCC that is unequally distributed. However, the relative ranking of countries is robust to different specifications: countries that incur large fractions of the global cost consistently include India, China, Saudi Arabia and the United States.</p>",Article,Nature Climate Change,24 September 2018,Country-level social cost of carbon
"<p>Rapid action to improve resource efficiency is essential for achieving climate mitigation goals. As they are likely to reshape everyday life in unexpected ways, new products, policies and business models will need to consider the public acceptability of resource-efficiency strategies, as well as the technical emission-reduction potential. Here, using consumption-based emissions modelling and deliberative public workshops, we find considerable public support for a range of resource-efficiency strategies that combined could reduce the carbon footprint in the United Kingdom by up to 29 Mt of CO<sub>2</sub>-equivalent (CO<sub>2</sub>e) emissions (a 39% emissions reduction from household products, such as cars, clothing, electronics, appliances and furniture). Public acceptability is already high for strategies that aim to develop more resource-efficient products. Strategies that aim to encourage product sharing and extend product lifetimes were also perceived positively, although acceptance was dependent on meeting other important conditions, such as trustworthiness, responsibility, fairness, affordability, convenience, safety and hygiene.</p>",Article,Nature Climate Change,08 October 2018,Public acceptance of resource-efficiency strategies to mitigate climate change
"<p>The carbon sink potential of peatlands depends on the balance of carbon uptake by plants and microbial decomposition. The rates of both these processes will increase with warming but it remains unclear which will dominate the global peatland response. Here we examine the global relationship between peatland carbon accumulation rates during the last millennium and planetary-scale climate space. A positive relationship is found between carbon accumulation and cumulative photosynthetically active radiation during the growing season for mid- to high-latitude peatlands in both hemispheres. However, this relationship reverses at lower latitudes, suggesting that carbon accumulation is lower under the warmest climate regimes. Projections under Representative Concentration Pathway (RCP)2.6 and RCP8.5 scenarios indicate that the present-day global sink will increase slightly until around <span class=""u-small-caps"">ad</span> 2100 but decline thereafter. Peatlands will remain a carbon sink in the future, but their response to warming switches from a negative to a positive climate feedback (decreased carbon sink with warming) at the end of the twenty-first century.</p>",Article,Nature Climate Change,10 September 2018,Latitudinal limits to the predicted increase of the peatland carbon sink with warming
"<p>Achieving the long-term temperature goal of the Paris Agreement requires forest-based mitigation. Collective progress towards this goal will be assessed by the Paris Agreement’s Global stocktake. At present, there is a discrepancy of about 4 GtCO<sub>2</sub> yr<sup>−1</sup> in global anthropogenic net land-use emissions between global models (reflected in IPCC assessment reports) and aggregated national GHG inventories (under the UNFCCC). We show that a substantial part of this discrepancy (about 3.2 GtCO<sub>2</sub> yr<sup>−1</sup>) can be explained by conceptual differences in anthropogenic forest sink estimation, related to the representation of environmental change impacts and the areas considered as managed. For a more credible tracking of collective progress under the Global stocktake, these conceptual differences between models and inventories need to be reconciled. We implement a new method of disaggregation of global land model results that allows greater comparability with GHG inventories. This provides a deeper understanding of model–inventory differences, allowing more transparent analysis of forest-based mitigation and facilitating a more accurate Global stocktake.</p>",Article,Nature Climate Change,24 September 2018,Reconciling global-model estimates and country reporting of anthropogenic forest CO
"<p>There is a growing capability to project the impacts and economic effects of climate change across multiple sectors. This information is needed to inform decisions regarding the diversity and magnitude of future climate impacts and explore how mitigation and adaptation actions might affect these risks. Here, we summarize results from sectoral impact models applied within a consistent modelling framework to project how climate change will affect 22 impact sectors of the United States, including effects on human health, infrastructure and agriculture. The results show complex patterns of projected changes across the country, with damages in some sectors (for example, labour, extreme temperature mortality and coastal property) estimated to range in the hundreds of billions of US dollars annually by the end of the century under high emissions. Inclusion of a large number of sectors shows that there are no regions that escape some mix of adverse impacts. Lower emissions, and adaptation in relevant sectors, would result in substantial economic benefits.</p>",Article,Nature Climate Change,08 April 2019,Climate damages and adaptation potential across diverse sectors of the United States
"<p>The strength of the Atlantic Meridional Overturning Circulation, a key indicator of the climate state, is maintained by the subduction of dense water that feeds the deep southwards branch. At present, this subduction occurs almost entirely in the subpolar region, in the Labrador, Irminger and Nordic seas; however, whether this will continue under climate change is unknown. Here we use a quantitative Lagrangian diagnostic applied to climate model output to show that, in response to warming, the main source regions of this mixed-layer subduction shift northwards to the Arctic Basin and southwards to the subtropical gyre. These shifts are explained by changes in background stratification, mixed-layer depth and ocean circulation, highlighting the need to consider the full three-dimensionality of the circulation and its changes to accurately predict the future climate state.</p>",Article,Nature Climate Change,22 October 2018,Latitudinal shift of the Atlantic Meridional Overturning Circulation source regions under a warming climate
